City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Fortuna,US,40.5982,-124.1573,63.91,84,20,12.66,few clouds
156,Flinders,AU,-34.5833,150.8552,67.37,52,11,7.0,few clouds
157,King City,US,36.2127,-121.126,76.3,39,0,9.62,clear sky
158,Faanui,PF,-16.4833,-151.75,78.69,76,15,25.5,few clouds
159,Lukovo,MK,41.3494,20.6047,67.59,78,17,3.78,few clouds
160,Risor,NO,58.7206,9.2342,57.29,73,12,9.37,few clouds
161,Grand-Santi,GF,4.25,-54.3833,72.54,99,100,1.54,overcast clouds
162,Souillac,MU,-20.5167,57.5167,68.38,88,40,5.75,light rain
163,Havelock,US,34.8791,-76.9013,82.96,89,56,3.0,broken clouds
164,Astrea,CO,9.4983,-73.9759,73.18,98,100,2.71,overcast clouds
165,Jimenez,MX,28.3333,-105.4,80.82,48,19,3.15,few clouds
166,Anzhero-Sudzhensk,RU,56.081,86.0285,69.28,57,12,5.61,few clouds
167,Lebu,CL,-37.6167,-73.65,48.76,84,23,5.41,few clouds
168,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,5.75,light rain
169,Aklavik,CA,68.2191,-135.0107,54.97,57,97,11.25,overcast clouds
170,Baykit,RU,61.67,96.37,67.96,83,100,3.29,overcast clouds
171,Leshukonskoye,RU,64.8989,45.7622,65.64,74,9,7.54,clear sky
172,Borogontsy,RU,62.6683,131.1683,87.57,36,22,3.69,few clouds
173,Haines Junction,CA,60.7522,-137.5108,55.35,71,100,2.3,overcast clouds
174,Mahibadhoo,MV,3.7833,72.9667,82.11,74,85,15.14,overcast clouds
175,Tiksi,RU,71.6872,128.8694,68.67,59,84,5.61,broken clouds
176,Vilyuysk,RU,63.7553,121.6247,85.86,38,65,7.65,broken clouds
177,Baruun-Urt,MN,46.6806,113.2792,71.2,38,10,1.59,clear sky
178,Ilulissat,GL,69.2167,-51.1,44.62,93,75,5.75,broken clouds
179,Cherskiy,RU,68.75,161.3,55.17,47,100,6.33,overcast clouds
180,Camacupa,AO,-12.0167,17.4833,51.58,38,100,3.22,overcast clouds
181,Cabo San Lucas,MX,22.8909,-109.9124,86.31,51,20,11.5,few clouds
182,Monrovia,LR,6.3005,-10.7969,74.98,85,99,11.39,light rain
183,Bethel,US,41.3712,-73.414,74.75,77,0,1.01,clear sky
184,Broken Hill,AU,-31.95,141.4333,58.05,37,0,5.84,clear sky
185,Rowland Heights,US,33.9761,-117.9053,88.57,54,0,10.36,clear sky
186,East London,ZA,-33.0153,27.9116,63.68,78,100,11.07,overcast clouds
187,Sakaiminato,JP,35.55,133.2333,91.33,74,75,9.22,broken clouds
188,Salinopolis,BR,-0.6136,-47.3561,78.31,83,34,10.33,scattered clouds
189,Victoria,HK,22.2855,114.1577,92.03,75,0,5.99,clear sky
190,Iqaluit,CA,63.7506,-68.5145,51.53,66,75,3.44,broken clouds
191,Ballina,AU,-28.8667,153.5667,66.02,55,0,5.17,clear sky
192,Torbay,CA,47.6666,-52.7314,63.28,91,75,16.11,broken clouds
193,Manokwari,ID,-0.8667,134.0833,83.97,67,63,7.54,broken clouds
194,Sinnamary,GF,5.3833,-52.95,77.09,87,95,4.76,overcast clouds
195,Xai-Xai,MZ,-25.0519,33.6442,58.42,89,0,3.49,clear sky
196,Saint-Georges,GD,12.0564,-61.7485,78.48,89,40,11.5,scattered clouds
197,Airai,TL,-8.9266,125.4092,67.86,49,14,5.14,few clouds
198,Saint Anthony,US,45.0205,-93.218,73.65,49,0,10.36,clear sky
199,Kutum,SD,14.2,24.6667,73.04,63,89,5.61,overcast clouds
200,Yaan,NG,7.3833,8.5667,71.44,96,100,5.48,overcast clouds
201,Ulaangom,MN,49.9811,92.0667,65.86,41,100,3.78,overcast clouds
202,Berlevag,NO,70.8578,29.0864,49.95,93,100,26.46,overcast clouds
203,Narsaq,GL,60.9167,-46.05,48.42,85,14,2.84,few clouds
204,Matay,EG,28.419,30.7792,79.02,32,0,8.14,clear sky
205,Srednekolymsk,RU,67.45,153.6833,57.13,42,99,10.45,overcast clouds
206,Shimoda,JP,34.6667,138.95,86.36,76,88,8.84,overcast clouds
207,Khatanga,RU,71.9667,102.5,71.17,46,92,3.42,overcast clouds
208,Muros,ES,42.7762,-9.0603,61.09,82,90,1.97,overcast clouds
209,Nikolskoye,RU,59.7035,30.7861,56.8,88,0,3.67,clear sky
210,Gimli,CA,50.6336,-96.9907,57.6,86,97,13.31,overcast clouds
211,Am Timan,TD,11.0297,20.2827,71.06,97,100,3.76,moderate rain
212,Kenai,US,60.5544,-151.2583,69.89,37,0,8.05,clear sky
213,Cabedelo,BR,-6.9811,-34.8339,72.27,81,77,9.95,broken clouds
214,Cairns,AU,-16.9167,145.7667,79.07,66,40,20.71,scattered clouds
215,Sungaipenuh,ID,-2.0833,101.3833,79.3,54,65,0.89,broken clouds
216,Vurnary,RU,55.4904,46.9648,63.19,80,12,3.4,few clouds
217,Freeport,US,40.6576,-73.5832,79.16,75,0,10.36,clear sky
218,Sar-E Pul,AF,35.8333,66.1667,77.9,32,1,3.4,clear sky
219,Ganzhou,CN,28.8184,115.4327,96.26,44,100,2.46,overcast clouds
220,Nabire,ID,-3.3667,135.4833,82.36,81,20,2.15,few clouds
221,Husavik,IS,66.0449,-17.3389,52.9,84,33,9.66,scattered clouds
222,Graham,US,47.0529,-122.2943,91.9,46,0,6.91,clear sky
223,Kudahuvadhoo,MV,2.6708,72.8944,82.4,74,100,14.79,overcast clouds
224,Biak,ID,-0.9131,122.8766,80.22,77,93,8.84,overcast clouds
225,Bereda,ES,43.2686,-7.5406,55.58,100,21,0.98,few clouds
226,Sao Filipe,CV,14.8961,-24.4956,78.17,89,89,3.62,overcast clouds
227,Koslan,RU,63.4564,48.8989,63.52,59,33,7.2,scattered clouds
228,Barcelona,ES,41.3888,2.159,78.75,84,75,4.61,broken clouds
229,Cuamba,MZ,-14.8031,36.5372,55.65,94,9,3.33,clear sky
230,Abu Dhabi,AE,24.4667,54.3667,87.82,62,58,11.5,broken clouds
231,Juneau,US,58.3019,-134.4197,65.84,91,100,4.61,overcast clouds
232,Kununurra,AU,-15.7667,128.7333,78.78,21,5,12.66,clear sky
233,Awjilah,LY,29.1081,21.2869,79.54,52,0,6.33,clear sky
234,Barao De Melgaco,BR,-16.1944,-55.9675,71.85,37,0,2.98,clear sky
235,Maceio,BR,-9.6658,-35.7353,72.84,88,20,3.44,few clouds
236,Yellowknife,CA,62.456,-114.3525,66.72,68,75,12.66,broken clouds
237,Maniitsoq,GL,65.4167,-52.9,41.92,84,42,10.25,scattered clouds
238,Gjirokaster,AL,40.0758,20.1389,74.32,61,49,4.41,scattered clouds
239,Padang,ID,-0.9492,100.3543,80.65,58,25,2.66,scattered clouds
240,Cruzeiro Do Oeste,BR,-23.785,-53.0733,66.0,62,13,4.56,few clouds
241,Yerbogachen,RU,61.2767,108.0108,73.58,66,45,6.35,light rain
242,Zhigalovo,RU,54.8097,105.1578,56.16,98,100,4.85,moderate rain
243,Kahului,US,20.8947,-156.47,86.02,62,20,24.16,few clouds
244,Batemans Bay,AU,-35.7167,150.1833,58.1,57,44,8.34,scattered clouds
245,San Quintin,MX,30.4833,-115.95,67.5,85,8,11.54,clear sky
246,Djibo,BF,14.1022,-1.6306,83.01,62,71,17.98,broken clouds
247,Zwettl,AT,48.6,15.1667,57.38,93,6,2.01,clear sky
248,Beba,CU,22.4437,-79.7253,79.07,85,100,8.63,overcast clouds
249,Rovaniemi,FI,66.5,25.7167,51.21,87,40,6.91,scattered clouds
250,Cururupu,BR,-1.8283,-44.8683,73.72,89,37,2.04,scattered clouds
251,Laguna,US,38.421,-121.4238,95.31,36,0,10.36,clear sky
252,Mayo,US,38.8876,-76.5119,82.98,87,0,5.75,clear sky
253,Kruisfontein,ZA,-34.0033,24.7314,57.88,91,2,5.01,clear sky
