City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Singapore,SG,86.2,scattered clouds,1.2897,103.8501,The Fullerton Hotel Singapore
268,Severo-Zadonsk,RU,67.73,clear sky,54.0348,38.4017,U San Sanycha
270,Arcos De La Frontera,ES,72.27,clear sky,36.7508,-5.8106,Parador de Arcos de la Frontera
271,Owando,CG,71.38,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
273,Laurel,US,82.44,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
274,Viransehir,TR,83.97,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
277,Sao Miguel Do Araguaia,BR,70.84,clear sky,-13.275,-50.1628,Hotel Executivo Palace
278,Korla,CN,93.29,clear sky,41.7597,86.1469,Gulisitan Hotel
279,Chaves,US,82.81,broken clouds,33.3834,-104.4505,Red Barn RV Park
280,Pangoa,PE,70.97,overcast clouds,-12.1167,-73.0,
281,Verkhnevilyuysk,RU,84.94,scattered clouds,63.4453,120.3167,Gostinitsa Mila
282,Camocim,BR,77.07,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
284,Tura,IN,80.82,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
287,Pandhana,IN,79.09,broken clouds,21.7,76.2167,ठा. करण सिंह चौहान
290,Hanyang,CN,81.64,clear sky,32.1371,105.5126,Forestry Hostel
291,Saquena,PE,71.4,broken clouds,-4.6667,-73.5167,
293,Colares,PT,67.75,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
294,Naze,JP,85.12,broken clouds,28.3667,129.4833,Shishime Hotel
295,Cambridge,CA,71.74,broken clouds,43.3601,-80.3127,Cambridge Gateway Suites
297,Gambela,ET,68.13,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
298,Namatanai,PG,85.1,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
301,Tamandare,BR,72.36,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
303,Pankrushikha,RU,76.08,broken clouds,53.8319,80.3406,"Гостиница ""Уют"""
304,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
306,Suntar,RU,88.32,clear sky,62.1444,117.6319,Гостевая квартира
307,Bria,CF,68.36,light rain,6.5423,21.9863,WFP Guesthouse
308,Ardakan,IR,89.15,overcast clouds,32.31,54.0175,Ardakan Hotel
310,Garissa,KE,69.33,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
311,Lorengau,PG,84.63,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
312,Wanning,CN,88.99,scattered clouds,18.8003,110.3967,Paradise Hotel
314,Iwanai,JP,78.08,broken clouds,42.9744,140.5089,いわない高原ホテル
315,San Pedro,PH,87.35,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
316,Cameta,BR,79.54,overcast clouds,-2.2444,-49.4958,Hotel San Juan
318,Chernoyerkovskaya,RU,67.87,clear sky,45.4331,37.7686,Chernoyerkovskaya
319,Tera,NE,82.99,broken clouds,14.0078,0.7531,Hotel Daressalam Téra
320,High Rock,BS,82.89,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
